# k Pk
1.060328203063775621e-01 1.157378428482973322e+04
1.069927148305097331e-01 1.141149897415930536e+04
1.079612990932982269e-01 1.125709184581513182e+04
1.089386517612590394e-01 1.111046588806416003e+04
1.099248522130609057e-01 1.097146013886477522e+04
1.109199805459720883e-01 1.083984969252034534e+04
1.119241175823658674e-01 1.071534627197855662e+04
1.129373448762849008e-01 1.059759940730826747e+04
1.139597447200647179e-01 1.048619826566686970e+04
1.149914001510172756e-01 1.038067418176394858e+04
1.160323949581751890e-01 1.028050393966565935e+04
1.170828136890970372e-01 1.018511385597535627e+04
1.181427416567339822e-01 1.009388471019601457e+04
1.192122649463586842e-01 1.000615755973361593e+04
1.202914704225570286e-01 9.921240463978034313e+03
1.213804457362832601e-01 9.838416123838065687e+03
1.224792793319786632e-01 9.756950419904887895e+03
1.235880604547547751e-01 9.676101804276133407e+03
1.247068791576417535e-01 9.595131468540557762e+03
1.258358263089024986e-01 9.513314174419527262e+03
1.269749935994126389e-01 9.429949595376830985e+03
1.281244735501073373e-01 9.344373978778436140e+03
1.292843595194958228e-01 9.255971900844795528e+03
1.304547457112439357e-01 9.164187852841874701e+03
1.316357271818249797e-01 9.068537368970559328e+03
1.328273998482398521e-01 8.968617386488765987e+03
1.340298604958075346e-01 8.864115518826103653e+03
1.352432067860257492e-01 8.754817924599925391e+03
1.364675372645028362e-01 8.640615470812346757e+03
1.377029513689612406e-01 8.521507917782055301e+03
1.389495494373137463e-01 8.397605896490207670e+03
1.402074327158129574e-01 8.269130505125534910e+03
1.414767033672741092e-01 8.136410418986067270e+03
1.427574644793724590e-01 7.999876483996027673e+03
1.440498200730158940e-01 7.860053845667479436e+03
1.453538751107935623e-01 7.717551748545101873e+03
1.466697355055005259e-01 7.573051221845166765e+03
1.479975081287396854e-01 7.427290940880743619e+03
1.493373008196017815e-01 7.281051616934839330e+03
1.506892223934239994e-01 7.135139317024009870e+03
1.520533826506277331e-01 6.990368146864640039e+03
1.534298923856360353e-01 6.847542743794406306e+03
1.548188633958723359e-01 6.707441021188476952e+03
1.562204084908406232e-01 6.570797583192295860e+03
1.576346415012873925e-01 6.438288190851565560e+03
1.590616772884466401e-01 6.310515611600968441e+03
1.605016317533687342e-01 6.187997128075451656e+03
1.619546218463339682e-01 6.071153924270753123e+03
1.634207655763507683e-01 5.960302512071403726e+03
1.649001820207400548e-01 5.855648313337163927e+03
1.663929913348065615e-01 5.757281475195742132e+03
1.678993147615978065e-01 5.665174970431990914e+03
1.694192746417511608e-01 5.579185020474332305e+03
1.709529944234297605e-01 5.499053873014753663e+03
1.725005986723490148e-01 5.424414965411162484e+03
1.740622130818936797e-01 5.354800502851560850e+03
1.756379644833264142e-01 5.289651470073135897e+03
1.772279808560883740e-01 5.228330070468253325e+03
1.788323913381938135e-01 5.170134540869485136e+03
1.804513262367184456e-01 5.114316220349939613e+03
1.820849170383826710e-01 5.060098656039714115e+03
1.837332964202304797e-01 5.006698410833569142e+03
1.853965982604053042e-01 4.953347103408566909e+03
1.870749576490236266e-01 4.899314070377262397e+03
1.887685108991464800e-01 4.843928906950976852e+03
1.904773955578503708e-01 4.786603031395757171e+03
1.922017504173988145e-01 4.726849345412083494e+03
1.939417155265149018e-01 4.664299041450338336e+03
1.956974322017555612e-01 4.598714649574242685e+03
1.974690430389889062e-01 4.529998526341301840e+03
1.992566919249757207e-01 4.458196165374292832e+03
